readType	refseqid	row	juncpos5	juncpos3	num_NC.42
3UTR	NM_000599	68851	217541483	217539369	1
3UTR	NM_001006622	68625	128522402	128520733	2
3UTR	NM_001008491	68000	242289618	242291382	52
3UTR	NM_001008492	68511	242289618	242291382	52
3UTR	NM_001009993	67327	131810464	131810025	8
3UTR	NM_001032392	66295	88053153	88056339	1
3UTR	NM_001033557	28016	44445676	44457552	8
3UTR	NM_001033575	68608	241500936	241503091	2
3UTR	NM_001035521	66165	27550044	27549085	3
3UTR	NM_001037872	65009	100017749	100017400	1
3UTR	NM_001039550	39481	220149557	220151454	1
3UTR	NM_001040445	64911	239359392	239360426	3
3UTR	NM_001042385	66524	44546145	44545528	2
3UTR	NM_001042386	66523	44546145	44545528	2
3UTR	NM_001083590	65016	27263822	27264148	1
3UTR	NM_001127183	30573	202028807	202031877	2
3UTR	NM_001130445	40250	182787139	182794288	2
3UTR	NM_001130445	40250	182793005	182794288	23
3UTR	NM_001130483	21724	58373609	58386484	18
3UTR	NM_001130483	21724	58381937	58386484	3
3UTR	NM_001134693	22623	27294194	27293589	149
3UTR	NM_001135597	22936	55518812	55518300	1
3UTR	NM_001142370	60695	131130793	131132655	1
3UTR	NM_001145710	30537	24387204	24392225	9
3UTR	NM_001145710	30537	24390552	24392225	11
3UTR	NM_001165978	52037	95954754	95954972	1
3UTR	NM_001171506	34512	47167941	47131384	1
3UTR	NM_001171507	19778	47167941	47131384	1
3UTR	NM_001171508	19777	47167941	47131384	1
3UTR	NM_001171509	19776	47167941	47131384	1
3UTR	NM_001171510	19775	47167941	47131384	1
3UTR	NM_001171511	19774	47167941	47131384	1
3UTR	NM_001171603	8983	44546145	44545528	2
3UTR	NM_001171606	54279	44546145	44545528	2
3UTR	NM_001171613	61710	44546145	44545528	2
3UTR	NM_001171617	61711	44546145	44545528	2
3UTR	NM_001190329	60532	176043785	176043130	123
3UTR	NM_001191037	19757	232035435	232037249	47
3UTR	NM_001198952	12872	86847453	86843914	1
3UTR	NM_001199290	13342	170606609	170606614	1
3UTR	NM_001202515	40179	202028807	202031877	2
3UTR	NM_001202516	20861	202028807	202031877	2
3UTR	NM_001202517	29737	202028807	202031877	2
3UTR	NM_001202518	29738	202025665	202028558	2
3UTR	NM_001202518	29738	202027807	202028558	1
3UTR	NM_001202518	29738	202028807	202031877	2
3UTR	NM_001202519	29739	202025665	202028558	2
3UTR	NM_001202519	29739	202027807	202028558	1
3UTR	NM_001202519	29739	202028807	202031877	2
3UTR	NM_001204107	52493	111911481	111921710	2
3UTR	NM_001204108	52492	111911481	111921710	2
3UTR	NM_001204109	52491	111911481	111921710	2
3UTR	NM_001204110	41813	111911481	111921710	2
3UTR	NM_001204112	41811	111911481	111921710	2
3UTR	NM_001243900	10538	242169248	242167825	1
3UTR	NM_001244676	34623	88482592	88485417	2
3UTR	NM_001244676	34623	88485243	88485417	1
3UTR	NM_001244676	34623	88485243	88485452	1
3UTR	NM_001254943	5414	55518812	55518300	1
3UTR	NM_001256726	53037	85875139	85875884	25
3UTR	NM_001258312	44981	183011763	183007765	1
3UTR	NM_001278282	57462	210884684	210885691	1
3UTR	NM_001278283	57461	210884684	210885691	1
3UTR	NM_001278285	57459	210884684	210885691	1
3UTR	NM_001278286	57458	210884684	210885691	1
3UTR	NM_001278288	42716	210884684	210885691	1
