readType	refseqid	row	juncpos5	juncpos3	num_NC.41	num_CRC.41	num_NC.42	num_CRC.42	gene_symbol	gene_id	contig	strand	gene_desc
3UTR	NM_000599	68851	217541483	217539369	0	0	1	0	IGFBP5	3488	chr2	-	insulin like growth factor binding protein 5
3UTR	NM_001001664	68875	139326796	139328338	0	2	0	0	SPOPL	339745	chr2	+	speckle type BTB/POZ protein like
3UTR	NM_001005781	68331	203071976	203071526	1	0	0	3	SUMO1	7341	chr2	-	small ubiquitin-like modifier 1
3UTR	NM_001009812	67364	74724905	74724713	0	0	0	1	LBX2	85474	chr2	-	ladybird homeobox 2
3UTR	NM_001032392	66295	88053153	88056339	0	1	1	0	PLGLB1	5343	chr2	+	plasminogen-like B1
3UTR	NM_001033575	68608	241500936	241503091	0	2	2	3	DUSP28	285193	chr2	+	dual specificity phosphatase 28
3UTR	NM_001033575	68608	241500940	241503091	0	1	0	0	DUSP28	285193	chr2	+	dual specificity phosphatase 28
3UTR	NM_001033575	68608	241502013	241503091	0	0	0	3	DUSP28	285193	chr2	+	dual specificity phosphatase 28
3UTR	NM_001039550	39481	220149557	220151454	0	0	1	0	DNAJB2	3300	chr2	+	DnaJ heat shock protein family (Hsp40) member B2
3UTR	NM_001040445	64911	239355296	239358766	1	0	0	0	ASB1	51665	chr2	+	ankyrin repeat and SOCS box containing 1
3UTR	NM_001040445	64911	239359392	239360426	0	0	3	0	ASB1	51665	chr2	+	ankyrin repeat and SOCS box containing 1
3UTR	NM_001080437	26583	242027817	242031053	4	2	0	1	SNED1	25992	chr2	+	sushi, nidogen and EGF like domains 1
3UTR	NM_001130445	40250	182787139	182794288	1	2	2	2	SSFA2	6744	chr2	+	sperm specific antigen 2
3UTR	NM_001130445	40250	182793005	182794288	30	68	23	35	SSFA2	6744	chr2	+	sperm specific antigen 2
3UTR	NM_001134693	22623	27294194	27293589	100	184	149	184	OST4	100128731	chr2	-	oligosaccharyltransferase complex subunit 4, non-catalytic
3UTR	NM_001136575	11860	211300111	211296559	2	0	0	0	LANCL1	10314	chr2	-	LanC like 1
3UTR	NM_001171506	34512	47167941	47131384	0	0	1	0	MCFD2	90411	chr2	-	multiple coagulation factor deficiency 2
