refseqid	cds_len	transcript_len
NR_148357	0	1610
NR_046018	0	1652
NR_024540	0	1769
NR_106918	0	68
NR_107062	0	68
NR_107063	0	68
NR_128720	0	68
NR_036051	0	138
NR_036266	0	138
NR_036267	0	138
NR_036268	0	138
NR_026818	0	1130
NR_026820	0	1130
NR_039983	0	5474
NR_028322	0	4370
NR_028325	0	4370
NR_028327	0	4273
NM_001114136	1218	2511
NR_125957	0	798
NR_106781	0	89
NR_028327	0	4273
NR_033908	0	1371
NR_103536	0	1944
NR_024321	0	1317
NR_047526	0	2692
NR_047519	0	6776
NR_047521	0	6623
NR_047523	0	6527
NR_047524	0	6439
NR_047525	0	6490
NR_027055	0	1706
NR_026874	0	1506
NR_122045	0	1446
NR_024549	0	4012
NM_001349370	7563	8417
NM_138342	1911	3155
NM_138341	738	1539
NM_130787	2868	3433
NM_138338	615	4178
NM_001351184	1113	3628
NM_001352494	336	4025
NM_001351183	1113	3362
NM_018159	495	2396
NM_018158	2391	2970
NM_130435	1929	4978
NM_001330306	1143	2704
NM_017891	597	2104
NR_038869	0	1618
NM_201431	1110	5926
NM_181798	1650	3013
NM_194251	1260	1260
NM_014037	2211	2933
NM_133262	357	632
NM_133261	939	4317
NR_029681	0	100
NR_003672	0	2159
NR_003531	0	1709
NR_003530	0	1842
NM_005149	1347	2822
NR_106784	0	61
NR_145806	0	84
NR_144369	0	1216
NM_001168465	2322	4151
NM_001168466	2064	3893
NM_001168467	2043	3865
NM_001350829	1536	2406
NR_106785	0	65
NR_034125	0	2671
NM_001243645	450	3102
NR_106866	0	59
NM_001195260	426	957
NM_001195259	951	1256
NM_001195257	240	240
NM_004510	1650	2082
NM_006196	1071	1750
NM_006194	1026	3106
NM_006193	1032	2010
NM_001320032	2898	5979
NM_003764	864	5504
NM_003763	915	4904
NR_135154	0	5269
NM_001256421	1305	2631
NM_001283009	3903	5125
NM_001286624	264	1505
NM_001286623	375	1570
NM_005370	624	2177
NR_146722	0	3641
NR_146723	0	4091
NR_015434	0	1748
NM_001321776	1308	2150
NM_001166496	1503	4378
NR_125994	0	1194
NR_125995	0	902
NR_125996	0	892
NM_145284	747	3470
NM_145283	408	1461
NM_138735	1329	5575
NM_145279	807	2804
NM_145278	408	3863
NM_145276	1431	2773
NM_145274	777	2065
NM_138734	2001	3535
NM_145272	525	1031
NM_145271	831	1827
