contig	strand	refseqid	row	Gblock_id	transc_start	transc_end	exon_starts	exon_ends
chr2	+	NM_000090	69951	NM_000090:69951:1	189839098	189839215	189839098	189839215
chr2	+	NM_000090	69951	NM_000090:69951:2	189839215	189839294	189839215	189839294
chr2	+	NM_000090	69951	NM_000090:69951:3	189839294	189849485	189839294	189849485
chr2	+	NM_000090	69951	NM_000090:69951:4	189849485	189849688	189849485	189849688
chr2	+	NM_000090	69951	NM_000090:69951:5	189849688	189849922	189849688	189849922
chr2	+	NM_000090	69951	NM_000090:69951:6	189849922	189849973	189849922	189849973
chr2	+	NM_000090	69951	NM_000090:69951:7	189849973	189850390	189849973	189850390
chr2	+	NM_000090	69951	NM_000090:69951:8	189850390	189850504	189850390	189850504
chr2	+	NM_000090	69951	NM_000090:69951:9	189850504	189851784	189850504	189851784
chr2	+	NM_000090	69951	NM_000090:69951:10	189851784	189851865	189851784	189851865
chr2	+	NM_000090	69951	NM_000090:69951:11	189851865	189852806	189851865	189852806
chr2	+	NM_000090	69951	NM_000090:69951:12	189852806	189852860	189852806	189852860
chr2	+	NM_000090	69951	NM_000090:69951:13	189852860	189853315	189852860	189853315
chr2	+	NM_000090	69951	NM_000090:69951:14	189853315	189853369	189853315	189853369
chr2	+	NM_000090	69951	NM_000090:69951:15	189853369	189854121	189853369	189854121
chr2	+	NM_000090	69951	NM_000090:69951:16	189854121	189854175	189854121	189854175
chr2	+	NM_000090	69951	NM_000090:69951:17	189854175	189854821	189854175	189854821
chr2	+	NM_000090	69951	NM_000090:69951:18	189854821	189854875	189854821	189854875
chr2	+	NM_000090	69951	NM_000090:69951:19	189854875	189855032	189854875	189855032
chr2	+	NM_000090	69951	NM_000090:69951:20	189855032	189855086	189855032	189855086
chr2	+	NM_000090	69951	NM_000090:69951:21	189855086	189855729	189855086	189855729
chr2	+	NM_000090	69951	NM_000090:69951:22	189855729	189855783	189855729	189855783
chr2	+	NM_000090	69951	NM_000090:69951:23	189855783	189856212	189855783	189856212
chr2	+	NM_000090	69951	NM_000090:69951:24	189856212	189856257	189856212	189856257
chr2	+	NM_000090	69951	NM_000090:69951:25	189856257	189856394	189856257	189856394
chr2	+	NM_000090	69951	NM_000090:69951:26	189856394	189856448	189856394	189856448
chr2	+	NM_000090	69951	NM_000090:69951:27	189856448	189856909	189856448	189856909
chr2	+	NM_000090	69951	NM_000090:69951:28	189856909	189856954	189856909	189856954
chr2	+	NM_000090	69951	NM_000090:69951:29	189856954	189857612	189856954	189857612
chr2	+	NM_000090	69951	NM_000090:69951:30	189857612	189857666	189857612	189857666
chr2	+	NM_000090	69951	NM_000090:69951:31	189857666	189858086	189857666	189858086
chr2	+	NM_000090	69951	NM_000090:69951:32	189858086	189858185	189858086	189858185
chr2	+	NM_000090	69951	NM_000090:69951:33	189858185	189858763	189858185	189858763
chr2	+	NM_000090	69951	NM_000090:69951:34	189858763	189858808	189858763	189858808
chr2	+	NM_000090	69951	NM_000090:69951:35	189858808	189858959	189858808	189858959
chr2	+	NM_000090	69951	NM_000090:69951:36	189858959	189859058	189858959	189859058
chr2	+	NM_000090	69951	NM_000090:69951:37	189859058	189859266	189859058	189859266
chr2	+	NM_000090	69951	NM_000090:69951:38	189859266	189859320	189859266	189859320
chr2	+	NM_000090	69951	NM_000090:69951:39	189859320	189859449	189859320	189859449
chr2	+	NM_000090	69951	NM_000090:69951:40	189859449	189859557	189859449	189859557
chr2	+	NM_000090	69951	NM_000090:69951:41	189859557	189859771	189859557	189859771
chr2	+	NM_000090	69951	NM_000090:69951:42	189859771	189859825	189859771	189859825
chr2	+	NM_000090	69951	NM_000090:69951:43	189859825	189860417	189859825	189860417
chr2	+	NM_000090	69951	NM_000090:69951:44	189860417	189860516	189860417	189860516
chr2	+	NM_000090	69951	NM_000090:69951:45	189860516	189860850	189860516	189860850
chr2	+	NM_000090	69951	NM_000090:69951:46	189860850	189860904	189860850	189860904
chr2	+	NM_000090	69951	NM_000090:69951:47	189860904	189861123	189860904	189861123
chr2	+	NM_000090	69951	NM_000090:69951:48	189861123	189861222	189861123	189861222
chr2	+	NM_000090	69951	NM_000090:69951:49	189861222	189861890	189861222	189861890
chr2	+	NM_000090	69951	NM_000090:69951:50	189861890	189861944	189861890	189861944
chr2	+	NM_000090	69951	NM_000090:69951:51	189861944	189862061	189861944	189862061
chr2	+	NM_000090	69951	NM_000090:69951:52	189862061	189862115	189862061	189862115
chr2	+	NM_000090	69951	NM_000090:69951:53	189862115	189862425	189862115	189862425
chr2	+	NM_000090	69951	NM_000090:69951:54	189862425	189862479	189862425	189862479
chr2	+	NM_000090	69951	NM_000090:69951:55	189862479	189862991	189862479	189862991
chr2	+	NM_000090	69951	NM_000090:69951:56	189862991	189863045	189862991	189863045
chr2	+	NM_000090	69951	NM_000090:69951:57	189863045	189863399	189863045	189863399
chr2	+	NM_000090	69951	NM_000090:69951:58	189863399	189863444	189863399	189863444
chr2	+	NM_000090	69951	NM_000090:69951:59	189863444	189864010	189863444	189864010
chr2	+	NM_000090	69951	NM_000090:69951:60	189864010	189864109	189864010	189864109
chr2	+	NM_000090	69951	NM_000090:69951:61	189864109	189864195	189864109	189864195
chr2	+	NM_000090	69951	NM_000090:69951:62	189864195	189864303	189864195	189864303
chr2	+	NM_000090	69951	NM_000090:69951:63	189864303	189864567	189864303	189864567
chr2	+	NM_000090	69951	NM_000090:69951:64	189864567	189864621	189864567	189864621
chr2	+	NM_000090	69951	NM_000090:69951:65	189864621	189866122	189864621	189866122
chr2	+	NM_000090	69951	NM_000090:69951:66	189866122	189866176	189866122	189866176
chr2	+	NM_000090	69951	NM_000090:69951:67	189866176	189866261	189866176	189866261
