readType	refseqid	row	juncpos5	juncpos3	num_CRC.41
3UTR	NM_000210	69865	173362828	173368819	53
3UTR	NM_000210	69865	173366629	173368819	68
3UTR	NM_001001664	68875	139326796	139328338	2
3UTR	NM_001006622	68625	128522402	128520733	1
3UTR	NM_001008491	68000	242289618	242291382	87
3UTR	NM_001008492	68511	242289618	242291382	87
3UTR	NM_001009993	67327	131810464	131810025	4
3UTR	NM_001032392	66295	88053153	88056339	1
3UTR	NM_001033557	28016	44445676	44457552	8
3UTR	NM_001033575	68608	241500936	241503091	2
3UTR	NM_001033575	68608	241500940	241503091	1
3UTR	NM_001042426	67081	27016194	27016680	19
3UTR	NM_001080437	26583	242027817	242031053	2
3UTR	NM_001099285	65156	232448068	232578098	1
3UTR	NM_001099285	65156	232577226	232577637	1
3UTR	NM_001127183	30573	202028807	202031877	1
3UTR	NM_001130445	40250	182787139	182794288	2
3UTR	NM_001130445	40250	182793005	182794288	68
3UTR	NM_001130483	21724	58373609	58386484	15
3UTR	NM_001130483	21724	58381937	58386484	2
3UTR	NM_001134693	22623	27294194	27293589	184
3UTR	NM_001142356	57730	201764191	201768393	1
3UTR	NM_001142370	60695	131130793	131132239	7
3UTR	NM_001145710	30537	24387204	24392225	4
3UTR	NM_001145710	30537	24390552	24392225	1
3UTR	NM_001165978	52037	95954754	95954972	14
3UTR	NM_001184938	60337	120861664	120865740	2
3UTR	NM_001184939	60340	120861664	120865740	2
3UTR	NM_001190329	60532	176043785	176043130	198
3UTR	NM_001190329	60532	176043785	176043150	1
3UTR	NM_001191037	19757	232035435	232037249	31
3UTR	NM_001199803	8208	25040710	25042223	2
3UTR	NM_001202515	40179	202028807	202031877	1
3UTR	NM_001202516	20861	202028807	202031877	1
3UTR	NM_001202517	29737	202028807	202031877	1
3UTR	NM_001202518	29738	202025665	202028558	19
3UTR	NM_001202518	29738	202028807	202031877	1
3UTR	NM_001202519	29739	202025665	202028558	19
3UTR	NM_001202519	29739	202028807	202031877	1
3UTR	NM_001204107	52493	111907724	111921710	1
3UTR	NM_001204108	52492	111907724	111921710	1
3UTR	NM_001204109	52491	111907724	111921710	1
3UTR	NM_001204110	41813	111907724	111921710	1
3UTR	NM_001204112	41811	111907724	111921710	1
3UTR	NM_001206840	31730	85552038	85545846	1
3UTR	NM_001206841	46914	85552038	85545846	1
3UTR	NM_001206841	46914	85552038	85549793	1
3UTR	NM_001206844	22214	85552038	85545846	1
3UTR	NM_001206844	22214	85552038	85549793	1
3UTR	NM_001206864	2155	202342914	202344755	1
3UTR	NM_001243900	10538	242169248	242167825	1
3UTR	NM_001256093	23392	175945388	175939563	7
3UTR	NM_001256303	32577	25602159	25600422	3
3UTR	NM_001256304	55928	25602159	25600422	3
3UTR	NM_001256308	30015	25602159	25600422	3
3UTR	NM_001256725	19773	85875976	85876140	5
3UTR	NM_001256726	53037	85875139	85875884	29
3UTR	NM_001256726	53037	85875976	85876140	5
3UTR	NM_001256727	53042	85875976	85876140	5
3UTR	NM_001256728	3321	85875976	85876140	5
3UTR	NM_001258312	44981	183011763	183007765	1
3UTR	NM_001271634	26555	219457430	219461118	1
3UTR	NM_001278289	61859	210882283	210884393	32
3UTR	NM_001278289	61859	210882283	210884397	1
3UTR	NM_001282434	26786	239320269	239147624	1
3UTR	NM_001282710	40247	11318234	11318246	1
3UTR	NM_001282711	40254	11304387	11317863	1
3UTR	NM_001282711	40254	11312171	11317863	5
3UTR	NM_001282711	40254	11315135	11317863	8
3UTR	NM_001282711	40254	11318234	11318246	1
