contig	strand	refseqid	row	site_pos	PosType	PosAno
chr2	+	NM_000090	69951	189839099	ts	E1
chr2	+	NM_000090	69951	189839216	cs	cs
chr2	+	NM_000090	69951	189839294	ss5	E1
chr2	+	NM_000090	69951	189849486	ss3	E2
chr2	+	NM_000090	69951	189849688	ss5	E2
chr2	+	NM_000090	69951	189849923	ss3	E3
chr2	+	NM_000090	69951	189849973	ss5	E3
chr2	+	NM_000090	69951	189850391	ss3	E4
chr2	+	NM_000090	69951	189850504	ss5	E4
chr2	+	NM_000090	69951	189851785	ss3	E5
chr2	+	NM_000090	69951	189851865	ss5	E5
chr2	+	NM_000090	69951	189852807	ss3	E6
chr2	+	NM_000090	69951	189852860	ss5	E6
chr2	+	NM_000090	69951	189853316	ss3	E7
chr2	+	NM_000090	69951	189853369	ss5	E7
chr2	+	NM_000090	69951	189854122	ss3	E8
chr2	+	NM_000090	69951	189854175	ss5	E8
chr2	+	NM_000090	69951	189854822	ss3	E9
chr2	+	NM_000090	69951	189854875	ss5	E9
chr2	+	NM_000090	69951	189855033	ss3	E10
chr2	+	NM_000090	69951	189855086	ss5	E10
chr2	+	NM_000090	69951	189855730	ss3	E11
chr2	+	NM_000090	69951	189855783	ss5	E11
chr2	+	NM_000090	69951	189856213	ss3	E12
chr2	+	NM_000090	69951	189856257	ss5	E12
chr2	+	NM_000090	69951	189856395	ss3	E13
chr2	+	NM_000090	69951	189856448	ss5	E13
chr2	+	NM_000090	69951	189856910	ss3	E14
chr2	+	NM_000090	69951	189856954	ss5	E14
chr2	+	NM_000090	69951	189857613	ss3	E15
chr2	+	NM_000090	69951	189857666	ss5	E15
chr2	+	NM_000090	69951	189858087	ss3	E16
chr2	+	NM_000090	69951	189858185	ss5	E16
chr2	+	NM_000090	69951	189858764	ss3	E17
chr2	+	NM_000090	69951	189858808	ss5	E17
chr2	+	NM_000090	69951	189858960	ss3	E18
chr2	+	NM_000090	69951	189859058	ss5	E18
chr2	+	NM_000090	69951	189859267	ss3	E19
chr2	+	NM_000090	69951	189859320	ss5	E19
chr2	+	NM_000090	69951	189859450	ss3	E20
chr2	+	NM_000090	69951	189859557	ss5	E20
chr2	+	NM_000090	69951	189859772	ss3	E21
chr2	+	NM_000090	69951	189859825	ss5	E21
chr2	+	NM_000090	69951	189860418	ss3	E22
chr2	+	NM_000090	69951	189860516	ss5	E22
chr2	+	NM_000090	69951	189860851	ss3	E23
chr2	+	NM_000090	69951	189860904	ss5	E23
chr2	+	NM_000090	69951	189861124	ss3	E24
chr2	+	NM_000090	69951	189861222	ss5	E24
chr2	+	NM_000090	69951	189861891	ss3	E25
chr2	+	NM_000090	69951	189861944	ss5	E25
chr2	+	NM_000090	69951	189862062	ss3	E26
chr2	+	NM_000090	69951	189862115	ss5	E26
chr2	+	NM_000090	69951	189862426	ss3	E27
chr2	+	NM_000090	69951	189862479	ss5	E27
chr2	+	NM_000090	69951	189862992	ss3	E28
chr2	+	NM_000090	69951	189863045	ss5	E28
chr2	+	NM_000090	69951	189863400	ss3	E29
chr2	+	NM_000090	69951	189863444	ss5	E29
chr2	+	NM_000090	69951	189864011	ss3	E30
chr2	+	NM_000090	69951	189864109	ss5	E30
chr2	+	NM_000090	69951	189864196	ss3	E31
chr2	+	NM_000090	69951	189864303	ss5	E31
chr2	+	NM_000090	69951	189864568	ss3	E32
chr2	+	NM_000090	69951	189864621	ss5	E32
chr2	+	NM_000090	69951	189866123	ss3	E33
chr2	+	NM_000090	69951	189866176	ss5	E33
chr2	+	NM_000090	69951	189866262	ss3	E34
chr2	+	NM_000090	69951	189866315	ss5	E34
chr2	+	NM_000090	69951	189867024	ss3	E35
chr2	+	NM_000090	69951	189867077	ss5	E35
chr2	+	NM_000090	69951	189867681	ss3	E36
chr2	+	NM_000090	69951	189867788	ss5	E36
chr2	+	NM_000090	69951	189868137	ss3	E37
chr2	+	NM_000090	69951	189868190	ss5	E37
chr2	+	NM_000090	69951	189868460	ss3	E38
chr2	+	NM_000090	69951	189868513	ss5	E38
chr2	+	NM_000090	69951	189868708	ss3	E39
chr2	+	NM_000090	69951	189868869	ss5	E39
chr2	+	NM_000090	69951	189868983	ss3	E40
chr2	+	NM_000090	69951	189869090	ss5	E40
chr2	+	NM_000090	69951	189870076	ss3	E41
chr2	+	NM_000090	69951	189870183	ss5	E41
chr2	+	NM_000090	69951	189870932	ss3	E42
chr2	+	NM_000090	69951	189870985	ss5	E42
