Gblock_id	cds_len	transcript_len
NM_000090:69951:1	0	117
NM_000090:69951:2	0	79
NM_000090:69951:3	0	10191
NM_000090:69951:4	0	203
NM_000090:69951:5	0	234
NM_000090:69951:6	0	51
NM_000090:69951:7	0	417
NM_000090:69951:8	0	114
NM_000090:69951:9	0	1280
NM_000090:69951:10	0	81
NM_000090:69951:11	0	941
NM_000090:69951:12	0	54
NM_000090:69951:13	0	455
NM_000090:69951:14	0	54
NM_000090:69951:15	0	752
NM_000090:69951:16	0	54
NM_000090:69951:17	0	646
NM_000090:69951:18	0	54
NM_000090:69951:19	0	157
NM_000090:69951:20	0	54
NM_000090:69951:21	0	643
NM_000090:69951:22	0	54
NM_000090:69951:23	0	429
NM_000090:69951:24	0	45
NM_000090:69951:25	0	137
NM_000090:69951:26	0	54
NM_000090:69951:27	0	461
NM_000090:69951:28	0	45
NM_000090:69951:29	0	658
NM_000090:69951:30	0	54
NM_000090:69951:31	0	420
NM_000090:69951:32	0	99
NM_000090:69951:33	0	578
NM_000090:69951:34	0	45
NM_000090:69951:35	0	151
NM_000090:69951:36	0	99
NM_000090:69951:37	0	208
NM_000090:69951:38	0	54
NM_000090:69951:39	0	129
NM_000090:69951:40	0	108
NM_000090:69951:41	0	214
NM_000090:69951:42	0	54
NM_000090:69951:43	0	592
NM_000090:69951:44	0	99
NM_000090:69951:45	0	334
NM_000090:69951:46	0	54
NM_000090:69951:47	0	219
NM_000090:69951:48	0	99
NM_000090:69951:49	0	668
NM_000090:69951:50	0	54
NM_000090:69951:51	0	117
NM_000090:69951:52	0	54
NM_000090:69951:53	0	310
NM_000090:69951:54	0	54
NM_000090:69951:55	0	512
NM_000090:69951:56	0	54
NM_000090:69951:57	0	354
NM_000090:69951:58	0	45
NM_000090:69951:59	0	566
NM_000090:69951:60	0	99
NM_000090:69951:61	0	86
NM_000090:69951:62	0	108
NM_000090:69951:63	0	264
NM_000090:69951:64	0	54
NM_000090:69951:65	0	1501
NM_000090:69951:66	0	54
NM_000090:69951:67	0	85
NM_000090:69951:68	0	54
NM_000090:69951:69	0	708
NM_000090:69951:70	0	54
NM_000090:69951:71	0	603
NM_000090:69951:72	0	108
NM_000090:69951:73	0	348
NM_000090:69951:74	0	54
NM_000090:69951:75	0	269
NM_000090:69951:76	0	54
NM_000090:69951:77	0	194
NM_000090:69951:78	0	162
NM_000090:69951:79	0	113
NM_000090:69951:80	0	108
NM_000090:69951:81	0	985
NM_000090:69951:82	0	108
NM_000090:69951:83	0	748
NM_000090:69951:84	0	54
NM_000090:69951:85	0	85
NM_000090:69951:86	0	108
NM_000090:69951:87	0	484
NM_000090:69951:88	0	54
NM_000090:69951:89	0	509
NM_000090:69951:90	0	108
NM_000090:69951:91	0	277
NM_000090:69951:92	0	54
NM_000090:69951:93	0	96
NM_000090:69951:94	0	108
NM_000090:69951:95	0	781
NM_000090:69951:96	0	298
NM_000090:69951:97	0	956
NM_000090:69951:98	0	188
NM_000090:69951:99	0	282
NM_000090:69951:100	0	243
NM_000090:69951:101	0	737
NM_000090:69951:102	0	147
NM_000090:69951:103	0	972
NM_000179:69887:1	0	152
NM_000179:69887:2	0	260
NM_000179:69887:3	0	7433
NM_000179:69887:4	0	197
NM_000179:69887:5	0	4770
NM_000179:69887:6	0	170
NM_000179:69887:7	0	2547
NM_000179:69887:8	0	2545
NM_000179:69887:9	0	2264
NM_000179:69887:10	0	266
NM_000179:69887:11	0	1224
NM_000179:69887:12	0	118
NM_000179:69887:13	0	590
NM_000179:69887:14	0	90
NM_000179:69887:15	0	496
NM_000179:69887:16	0	155
NM_000179:69887:17	0	93
NM_000179:69887:18	0	200
NM_000179:69887:19	0	127
NM_000179:69887:20	0	82
NM_000179:69887:21	0	93
NM_000189:69879:1	0	1926
NM_000189:69879:2	0	63
NM_000189:69879:3	0	19649
NM_000189:69879:4	0	163
NM_000189:69879:5	0	13180
NM_000189:69879:6	0	149
NM_000189:69879:7	0	4515
NM_000189:69879:8	0	120
NM_000189:69879:9	0	856
NM_000189:69879:10	0	96
NM_000189:69879:11	0	472
NM_000189:69879:12	0	100
NM_000189:69879:13	0	322
NM_000189:69879:14	0	184
NM_000189:69879:15	0	2716
NM_000189:69879:16	0	156
NM_000189:69879:17	0	1366
NM_000189:69879:18	0	234
