Gblock_id	cds_len	transcript_len	num_CRC.41	num_CRC.42	num_NC.41	num_NC.42
NM_000090:69951:1	0	117	105	22	528	287
NM_000090:69951:2	0	79	107	19	594	368
NM_000090:69951:3	0	10191	3	0	38	11
NM_000090:69951:4	0	203	257	70	1542	989
NM_000090:69951:5	0	234	3	2	26	18
NM_000090:69951:6	0	51	92	30	455	275
NM_000090:69951:7	0	417	13	3	69	50
NM_000090:69951:8	0	114	144	24	799	495
NM_000090:69951:9	0	1280	6	1	36	23
NM_000090:69951:10	0	81	81	25	518	320
NM_000090:69951:11	0	941	1	1	11	16
NM_000090:69951:12	0	54	46	16	309	228
NM_000090:69951:13	0	455	5	0	11	11
NM_000090:69951:14	0	54	39	11	191	126
NM_000090:69951:15	0	752	10	1	33	31
NM_000090:69951:16	0	54	55	15	241	191
NM_000090:69951:17	0	646	3	3	15	11
NM_000090:69951:18	0	54	56	15	313	233
NM_000090:69951:19	0	157	3	1	17	14
NM_000090:69951:20	0	54	81	31	379	298
NM_000090:69951:21	0	643	11	4	73	37
NM_000090:69951:22	0	54	78	28	510	344
NM_000090:69951:23	0	429	11	4	83	47
NM_000090:69951:24	0	45	87	32	463	353
NM_000090:69951:25	0	137	5	3	33	16
NM_000090:69951:26	0	54	53	15	346	211
NM_000090:69951:27	0	461	3	1	14	13
NM_000090:69951:28	0	45	84	20	493	284
NM_000090:69951:29	0	658	5	2	27	11
NM_000090:69951:30	0	54	76	26	366	294
NM_000090:69951:31	0	420	11	1	72	62
NM_000090:69951:32	0	99	139	54	861	566
NM_000090:69951:33	0	578	4	3	32	21
NM_000090:69951:34	0	45	49	15	276	205
NM_000090:69951:35	0	151	20	5	111	74
NM_000090:69951:36	0	99	145	59	860	624
NM_000090:69951:37	0	208	8	3	20	19
NM_000090:69951:38	0	54	80	38	516	384
NM_000090:69951:39	0	129	8	1	27	22
NM_000090:69951:40	0	108	187	63	1192	825
NM_000090:69951:41	0	214	12	5	79	78
NM_000090:69951:42	0	54	92	41	544	339
NM_000090:69951:43	0	592	16	11	97	82
NM_000090:69951:44	0	99	127	80	847	601
NM_000090:69951:45	0	334	14	3	72	53
NM_000090:69951:46	0	54	105	34	517	339
NM_000090:69951:47	0	219	3	3	41	25
NM_000090:69951:48	0	99	157	71	796	689
NM_000090:69951:49	0	668	9	2	71	54
NM_000090:69951:50	0	54	75	39	457	372
NM_000090:69951:51	0	117	2	3	25	36
NM_000090:69951:52	0	54	103	45	450	363
NM_000090:69951:53	0	310	1	0	4	8
NM_000090:69951:54	0	54	85	56	442	430
NM_000090:69951:55	0	512	12	5	57	33
NM_000090:69951:56	0	54	72	46	407	314
NM_000090:69951:57	0	354	4	2	20	19
NM_000090:69951:58	0	45	70	45	378	362
NM_000090:69951:59	0	566	2	4	35	30
NM_000090:69951:60	0	99	150	87	871	710
NM_000090:69951:61	0	86	4	2	30	16
NM_000090:69951:62	0	108	166	110	842	715
NM_000090:69951:63	0	264	7	5	43	39
NM_000090:69951:64	0	54	101	54	587	482
NM_000090:69951:65	0	1501	4	3	45	40
NM_000090:69951:66	0	54	64	22	336	289
NM_000090:69951:67	0	85	10	5	48	36
NM_000090:69951:68	0	54	81	41	485	427
NM_000090:69951:69	0	708	18	13	67	54
NM_000090:69951:70	0	54	90	67	503	428
NM_000090:69951:71	0	603	4	4	47	26
NM_000090:69951:72	0	108	177	131	988	887
NM_000090:69951:73	0	348	4	0	24	20
NM_000090:69951:74	0	54	73	51	391	356
NM_000090:69951:75	0	269	7	10	43	44
NM_000090:69951:76	0	54	83	55	492	458
NM_000090:69951:77	0	194	9	6	43	42
NM_000090:69951:78	0	162	291	206	1404	1332
NM_000090:69951:79	0	113	8	6	27	26
NM_000090:69951:80	0	108	174	149	820	896
NM_000090:69951:81	0	985	7	8	65	47
NM_000090:69951:82	0	108	179	167	923	856
NM_000090:69951:83	0	748	10	6	44	34
NM_000090:69951:84	0	54	98	65	456	451
NM_000090:69951:85	0	85	7	7	54	56
NM_000090:69951:86	0	108	193	204	1014	983
NM_000090:69951:87	0	484	6	6	57	39
NM_000090:69951:88	0	54	79	100	385	403
NM_000090:69951:89	0	509	7	9	51	45
NM_000090:69951:90	0	108	224	207	1125	1070
NM_000090:69951:91	0	277	10	23	86	95
NM_000090:69951:92	0	54	69	80	437	437
NM_000090:69951:93	0	96	4	3	27	25
NM_000090:69951:94	0	108	223	284	1019	1173
NM_000090:69951:95	0	781	26	25	119	126
NM_000090:69951:96	0	298	736	1358	3641	3932
NM_000090:69951:97	0	956	20	55	97	107
NM_000090:69951:98	0	188	559	1699	2813	3465
NM_000090:69951:99	0	282	6	16	38	42
NM_000090:69951:100	0	243	711	2557	3483	4602
NM_000090:69951:101	0	737	27	53	97	109
NM_000090:69951:102	0	147	417	1858	2058	2866
NM_000090:69951:103	0	972	1198	7892	6661	9129
NM_000179:69887:1	0	152	7	0	4	3
NM_000179:69887:2	0	260	27	13	23	16
NM_000179:69887:3	0	7433	5	18	11	10
NM_000179:69887:4	0	197	36	23	44	15
NM_000179:69887:5	0	4770	6	13	13	5
NM_000179:69887:6	0	170	43	31	38	26
NM_000179:69887:7	0	2547	7	4	5	2
NM_000179:69887:8	0	2545	928	1064	850	677
NM_000179:69887:9	0	2264	39	102	80	88
NM_000179:69887:10	0	266	142	332	130	162
NM_000179:69887:11	0	1224	29	29	46	38
NM_000179:69887:12	0	118	58	115	63	62
NM_000179:69887:13	0	590	12	18	14	11
NM_000179:69887:14	0	90	43	76	29	51
NM_000179:69887:15	0	496	15	12	20	9
NM_000179:69887:16	0	155	71	205	68	99
NM_000179:69887:17	0	93	4	11	2	10
NM_000179:69887:18	0	200	97	392	103	196
NM_000179:69887:19	0	127	7	23	6	10
NM_000179:69887:20	0	82	27	140	27	64
NM_000179:69887:21	0	93	22	90	26	58
NM_000189:69879:1	0	1926	197	202	9	2
NM_000189:69879:2	0	63	52	12	1	0
NM_000189:69879:3	0	19649	28	31	0	0
NM_000189:69879:4	0	163	91	21	0	0
NM_000189:69879:5	0	13180	8	5	2	0
NM_000189:69879:6	0	149	157	25	0	1
NM_000189:69879:7	0	4515	7	1	0	0
NM_000189:69879:8	0	120	103	28	0	0
NM_000189:69879:9	0	856	0	1	0	0
NM_000189:69879:10	0	96	14	3	0	0
NM_000189:69879:11	0	472	2	0	0	0
NM_000189:69879:12	0	100	18	4	1	0
NM_000189:69879:13	0	322	3	0	0	0
NM_000189:69879:14	0	184	157	50	0	2
NM_000189:69879:15	0	2716	13	8	0	1
NM_000189:69879:16	0	156	151	48	3	0
NM_000189:69879:17	0	1366	15	11	0	0
NM_000189:69879:18	0	234	182	62	0	0
NM_000189:69879:19	0	1343	22	5	0	0
NM_000189:69879:20	0	305	225	79	4	0
NM_000189:69879:21	0	1141	3	5	0	0
NM_000189:69879:22	0	149	151	47	1	0
NM_000189:69879:23	0	260	7	1	0	0
NM_000189:69879:24	0	120	94	43	1	0
NM_000189:69879:25	0	3254	22	15	0	0
NM_000189:69879:26	0	96	117	45	1	0
NM_000189:69879:27	0	704	13	3	0	0
NM_000189:69879:28	0	100	128	43	2	0
NM_000189:69879:29	0	96	12	0	0	0
